ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;9003;9009;10262;11118;11147;11155;16261;16338;16351;16381;16404;16426;16460
LC08_199034_20160727;LC08;2016;7;27;27/07/2016;208;13;0;6,188121855;0,476009373;0,661643863;0,339913636;0,462708712;0,321730226;0,011913797;0,109150341;0,661643863;0,660957396;0,366414964;0,351916373;0,462708712;0,339913636;0,367875636;0,486664355;0,482587069;0,563852072;0,460036844;0,554514468;0,429036468
LC08_199034_20160812;LC08;2016;8;12;12/08/2016;224;10;3;4,804305598;0,48043056;0,670347631;0,225181594;0,504990578;0,445166036;0,023030042;0,151756521;0,670347631;0,666283965;;0,326361328;;0,225181594;0,350127548;0,510175943;0,511270821;0,634317875;0,499805212;;0,41043368
LC08_199034_20160828;LC08;2016;8;28;28/08/2016;240;7;6;2,788484514;0,398354931;0,513692439;0,217215478;0,468916506;0,29647696;0,013033677;0,11416513;0,468916506;0,473730683;;0,298004121;;0,217215478;0,333787471;;;0,513692439;;0,483137816;
LC08_199034_20160913;LC08;2016;9;13;13/09/2016;256;7;6;3,280367374;0,468623911;0,555755377;0,382398754;0,472312689;0,173356622;0,00373464;0,061111699;;;0,40071556;;0,472312689;;0,382398754;0,497189969;;;0,511846244;0,555755377;0,460148782
LC08_199034_20161015;LC08;2016;10;15;15/10/2016;288;13;0;7,763756484;0,597212037;0,803372383;0,397662759;0,592304528;0,405709624;0,012998852;0,114012507;0,803372383;0,70797962;0,503609121;0,456247061;0,590152085;0,397662759;0,518046737;0,605111301;0,592304528;0,691305995;0,648974657;0,706155658;0,54283458
LC08_199034_20161031;LC08;2016;10;31;31/10/2016;304;11;2;6,300464094;0,572769463;0,705350399;0,405423284;0,564631224;0,299927115;0,009216973;0,096005067;;;0,50210464;0,48732394;0,558031559;0,405423284;0,50951159;0,617647052;0,569620252;0,705350399;0,678055167;0,702764988;0,564631224
LC08_199034_20161116;LC08;2016;11;16;16/11/2016;320;13;0;7,919655859;0,609204297;0,794995487;0,381404161;0,587719321;0,413591325;0,017389977;0,13187106;0,793548405;0,794995487;0,456758499;0,514312983;0,518703222;0,381404161;0,527272701;0,619360149;0,559916496;0,716072083;0,725373149;0,724219203;0,587719321
LC08_199034_20161202;LC08;2016;12;2;02/12/2016;336;11;2;7,276325941;0,661484176;0,812479556;0,421509683;0,655895948;0,390969872;0,014766943;0,121519309;0,806798875;0,812479556;0,553426683;0,573376954;0,669902921;0,421509683;0,617558658;0,655895948;;;0,786407769;0,750806987;0,628161907
LC08_199034_20170103;LC08;2017;1;3;03/01/2017;2;10;3;5,222238928;0,522223893;0,700874388;0,313670784;0,529375777;0,387203604;0,020852598;0,144404287;0,700874388;0,695338786;;0,439565033;0,313670784;0,338496834;;0,574053228;;0,578981102;0,419764847;0,676795602;0,484698325
LC08_199034_20170204;LC08;2017;2;4;04/02/2017;34;5;8;1,671902001;0,3343804;0,535585284;0,200628936;0,221789882;0,334956348;0,027863539;0,166923752;0,535585284;0,497280687;0,200628936;0,216617212;;0,221789882;;;;;;;
