ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;15091;10322;10494;12266;10400;8542;6216;6272;5877;10444;10409;11525;11425;11385;12818;11365;11454;14554;12626;11405
LC08_199034_20160913;LC08;2016;9;13;13/09/2016;256;17;3;8,008488654;0,471087568;0,598547697;0,317436665;0,49391523;0,281111032;0,00711153;0,084329887;0,598547697;0,534386158;0,49391523;0,317436665;0,457311928;;0,524029195;;0,518394649;0,523730218;0,33420822;0,42351234;0,465536296;0,522399127;0,463917524;0,507237971;0,369323909;0,591199458;;0,363402069
LC08_199034_20161015;LC08;2016;10;15;15/10/2016;288;20;0;11,0250085;0,551250425;0,702380955;0,402298838;0,571464598;0,300082117;0,007882766;0,088784942;0,682857156;0,673789203;0,588431597;0,402298838;0,557013094;0,447197646;0,540076315;0,572042167;0,598313153;0,600975633;0,435869575;0,471560836;0,570887029;0,702380955;0,597989976;0,621917784;0,510791361;0,574081719;0,440047264;0,436487198
LC08_199034_20161031;LC08;2016;10;31;31/10/2016;304;20;0;11,27015296;0,563507648;0,740969181;0,409638554;0,578362525;0,331330627;0,008940328;0,094553308;0,740969181;0,724082947;0,610328615;0,435937494;0,582668185;0,530635834;0,563725471;0,581322968;0,618668199;0,486577183;0,45994398;0,409638554;0,577673674;0,706226707;0,579051375;0,625567317;0,543964207;0,579961479;0,476903856;0,436305732
LC08_199034_20161116;LC08;2016;11;16;16/11/2016;320;20;0;11,24038109;0,562019055;0,740440309;0,307793915;0,574673533;0,432646394;0,012042402;0,109737879;0,740440309;0,7106691;0,628534675;0,426188499;0,602923274;0,558500171;0,559857368;0,602549672;0,615480661;0,416711599;0,498545676;0,307793915;0,589489698;0,729729712;0,592426479;0,648723006;0,538461566;0,511195421;0,516235948;0,445924342
LC08_199034_20161202;LC08;2016;12;2;02/12/2016;336;15;5;9,177567721;0,611837848;0,855371892;0,446575344;0,597848594;0,408796548;0,013324887;0,115433475;0,855371892;0,778371155;0,670924127;0,517241359;0,674518228;0,520441413;;;;0,446575344;0,565543056;0,699999988;;;0,656403959;0,597848594;0,649484515;0,460243225;0,567854464;0,516746402
LC08_199034_20170103;LC08;2017;1;3;03/01/2017;2;12;8;4,316361502;0,359696792;0,478811234;0,21530585;0,389457971;0,263505384;0,008075441;0,089863458;;;0,393939406;;0,347478479;0,478811234;0,399684042;0,277628988;0,428181827;0,282720089;;0,224185318;0,464764625;;;0,21530585;;0,384976536;0,418685108;
LC08_199034_20170204;LC08;2017;2;4;04/02/2017;34;6;14;1,373657615;0,228942936;0,302270025;0,179507241;0,215141468;0,122762784;0,002656785;0,051544015;;;;;;0,302270025;;;;;;0,203738317;0,279866338;;;;0,179507241;;0,181731075;0,226544619
LC08_199034_20170308;LC08;2017;3;8;08/03/2017;66;19;1;9,294247926;0,489170943;0,629781425;0,365819216;0,487119436;0,263962209;0,005317861;0,072923667;0,629781425;0,615330994;0,51115948;0,365819216;0,519220889;;0,42632851;0,508357108;0,487119436;0,384963244;0,419576406;0,508207917;0,557866156;0,448554128;0,552305937;0,471323848;0,550784469;0,406549126;0,447771132;0,483228505
LC08_199034_20170324;LC08;2017;3;24;24/03/2017;82;5;15;2,440133646;0,488026729;0,610119045;0,248213127;0,557643652;0,361905918;0,023631396;0,153725065;;;;0,248213127;;;;;;;0,422343314;;;;0,601814508;0,557643652;0,610119045;;;
LC08_199034_20170409;LC08;2017;4;9;09/04/2017;98;20;0;10,07818768;0,503909384;0,688166559;0,324797273;0,508461446;0,363369286;0,007443148;0,08627368;0,522973657;0,541453421;0,455811918;0,324797273;0,44818303;0,595275104;0,404598624;0,498845279;0,532022178;0,504016042;0,409803927;0,688166559;0,512906849;0,544803917;0,601496696;0,604605258;0,571834207;0,461505741;0,407263935;0,447824061
LC08_199034_20170425;LC08;2017;4;25;25/04/2017;114;10;10;4,468833596;0,44688336;0,536603391;0,316188872;0,451712519;0,220414519;0,006025098;0,077621503;0,522743702;;0,439007103;0,316188872;0,408474565;0,536603391;;;;0,503846169;0,378400654;;;;;;0,531875312;;0,367275894;0,464417934
LC08_199034_20170511;LC08;2017;5;11;11/05/2017;130;6;14;2,904605478;0,484100913;0,788235307;0,210919172;0,456863537;0,577316135;0,047462361;0,217858579;0,788235307;;0,460149705;0,310924381;0,453577369;;;;;0,680799544;0,210919172;;;;;;;;;
